date,lake,chl_mean,chl_p90,FAI_mean,NDCI_mean,NDVI_mean,NDWI_mean,water_px,is_imputed_row,chl_mean_clip0,coverage,coverage_pct
2025-03-14,amatitlan,47.449005126953125,89.29228210449219,0.019385887309908867,0.40727320313453674,0.027587752789258957,0.3244045078754425,65545.0,False,47.453041076660156,65545.0,0.4920093980588355
2025-03-15,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-16,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-17,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-18,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-19,amatitlan,38.86561965942383,70.34478759765625,0.020446350798010826,0.37933316826820374,0.15169993042945862,0.22067375481128693,131491.0,False,38.87113952636719,131491.0,0.9870288772622524
2025-03-20,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-21,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-22,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,0.0,False,13.552206039428711,,
2025-03-23,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-24,amatitlan,75.74544525146484,127.02301025390625,0.02184615097939968,0.48332223296165466,0.15662570297718048,0.27551600337028503,131336.0,False,75.75090026855469,131336.0,0.9858653795629753
2025-03-25,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-26,amatitlan,11.8837890625,15.573042869567871,0.006632589269429445,0.2588666081428528,-0.022649629041552544,0.28784629702568054,27908.0,False,11.898287773132324,27908.0,0.20948963736403967
2025-03-27,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-28,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-29,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-30,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-03-31,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-01,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-02,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-03,amatitlan,16.070438385009766,43.88459777832031,0.005049925297498703,0.2100573480129242,-0.1058303490281105,0.41439589858055115,94502.0,False,16.088354110717773,94502.0,0.709373287594112
2025-04-04,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-05,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-06,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-07,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-08,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-09,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-10,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-11,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,0.0,False,13.552206039428711,,
2025-04-12,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-13,amatitlan,7.178268909454346,13.646571159362793,0.00040305746369995177,0.10892246663570404,-0.09007147699594498,0.3175753951072693,23728.0,False,7.245466232299805,23728.0,0.1781127316674048
2025-04-14,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-15,amatitlan,10.133570671081543,21.81130599975586,0.002009010873734951,0.15010333061218262,-0.110404372215271,0.3332309424877167,49182.0,False,10.164592742919922,49182.0,0.3691815731990182
2025-04-16,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,0.0,False,13.552206039428711,,
2025-04-17,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-18,amatitlan,10.527152061462402,25.825565338134766,0.0008226092904806137,0.11930863559246063,-0.15249061584472656,0.36300593614578247,24311.0,False,10.59284782409668,24311.0,0.1824889843040407
2025-04-19,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-20,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-21,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
2025-04-22,amatitlan,13.552206039428711,,0.005049925297498703,0.23511463403701782,-0.08322300016880035,0.3244045078754425,,True,13.552206039428711,,
